label,rank,0,1,2,3,4,5,6,7,8,9
financial manager,0.0002317631,chief party,senior credit officer,c .net senior developer/ team leader,chief accountant,teller supervisor,,,,,
administrative data reporting senior specialist,0.0003476447,project manager,accountant,web game developer,credit officer /individual business crediting/,qa engineer,intern legal advisory services department,asp.net software developers,,,
client support engineer,0.0017382235,senior ios developer,senior accountant,driver,senior software engineer deep submicron department,contractor/ intern,key account representative,director investment banking,sales agent,marketing programs intern,seller
expert private sector cooperation environmental,0.0017382235,brand manager,secretary/ administrative assistant,teller,sales specialist,executive director,teller,waiter/ waitress,branch corporate loan officer,deputy head regional safety security division central southern regions,head individual premium client managers ' service
customer care specialist,0.0018541051,finance manager,technical manager,junior quality assurance specialist,cad engineer ii/ sg virage,delinquent credits collection agent,senior web developer,european spare parts product manager,asp.net senior web developer,it engineer,transport manager
advocacy transparency specialist,0.0018541051,customer service representative,development assistant,test center administrator,head foreign languages chair,product manager,qa engineer deep submicron department,senior software/ platform engineer,secretary,air-conditioning system technician,communication supervisor
building manager,0.0020858682,vice-president mergers acquisitions unit,assets liabilities management unit specialist,national coordinator,team lead web application development design,legal consultant/ lawyer,loan officer,chief accountant,assistant chief accountant,internal auditor,head product development division
national public information officer,0.0023755722,lawyer,project manager,cardholder relationship management division specialist card,revenue assurance senior engineer,head credit monitoring division,accountant,short-term consultant cso organizational development,senior accountant/ systems administrator,head personnel training division,office manager
assistant chairman,0.0026652761,hotel manager,customer relations sales manager,category manager,state forest management component coordinator,marketing manager,senior qa engineer validation department,senior graphic designer,project assistant,junior associate euag advisor law enforcement,accountant
office manager,0.0026652761,telecommunications engineer,qa engineer,php developer,showrooms salesman,mobile access networks planning optimization engineer,procurement manager,medical representative shirak,nss engineer,treasurer,office internal auditor
van salesmen/trade agents,0.0030708616,social worker,country director,agronomist,manager masis branch,sports coordinator,systems manager,office administrator/ secretary,tefl technical coordinator short tirm pre-service,administrative information reporting division head,administrative/ supply assistant
key account manager,0.0031288024,medical representative,sales coordinator,policy government engagement specialist,accountant,language assistant g5,senior qa engineer,project manager,hr intern,ui web engineer,receptionist
