epoch,loss,mean_squared_error
0,nan,nan
1,nan,nan
2,nan,nan
3,nan,nan
4,nan,nan
5,nan,nan
6,nan,nan
7,nan,nan
8,nan,nan
9,nan,nan
0,nan,nan
1,nan,nan
0,nan,nan
1,nan,nan
0,nan,nan
1,nan,nan
0,nan,nan
1,nan,nan
0,nan,nan
1,nan,nan
0,nan,nan
1,nan,nan
0,nan,nan
1,nan,nan
0,nan,nan
1,nan,nan
0,-0.10748923719918414,0.26241041457783426
1,-0.301394328013571,0.22437664114811592
0,-0.19377274906038422,0.2345271065746753
1,-0.4242839613935036,0.17019016596188358
0,-0.18637469047772423,0.2785437612417957
1,-0.45655923197825193,0.14803180112278277
0,-0.19305722477137077,0.2806584980765387
1,-0.4514475886781534,0.14422152991437176
