,loss,mean_squared_error
0,-0.0036781142,32.079721026
1,-0.0037131758,31.9136950135
2,-0.0037363559,31.9294022464
3,-0.0037559738,31.9260296824
4,-0.0037721209,31.9404505505
5,-0.0037862303,31.958186914
6,-0.0037966302,31.9773153298
7,-0.0038246753,31.9909032713
8,-0.0038267524,32.0071666772
10,-0.0038592155,32.0203958734
11,-0.0038728089,32.0779752662
12,-0.003883191,32.0914757545
13,-0.0038895628,32.1102691978
14,-0.0039063618,32.1433142164
15,-0.0039108078,32.1334413891
16,-0.0039232605,32.131341019
17,-0.0039386327,32.170527205
18,-0.0039465822,32.1687558877
19,-0.003957456,32.1924034083
20,-0.003963584,32.1766945753
21,-0.003980425,32.2221009878
22,-0.0039942822,32.2224473328
23,-0.0039876959,32.2484056031
24,-0.0040049497,32.2576283264
25,-0.0040060744,32.2530088432
26,-0.0040090638,32.2372778608
27,-0.0040155552,32.2577507873
28,-0.0040269973,32.2678173015
29,-0.0040328099,32.2853879576
30,-0.0040380747,32.3076676329
31,-0.0040403882,32.3001659317
32,-0.0040405528,32.3013189468
33,-0.0040532654,32.3084255366
34,-0.004059922,32.3178542321
35,-0.0040640846,32.3199920506
36,-0.0040665643,32.3367615501
37,-0.0040729089,32.3515385662
38,-0.0040808317,32.3399693714
39,-0.0040837882,32.3534481864
40,-0.004085045,32.3584033782
41,-0.0040902162,32.3647132572
42,-0.0040962751,32.3617358726
43,-0.0041116425,32.3606489026
44,-0.0041013068,32.3700668228
45,-0.0041055781,32.386891432
46,-0.0041139303,32.3827821951
47,-0.0041118474,32.3871728968
48,-0.0041159717,32.3849404739
49,-0.004125642,32.3988583017
50,-0.004127784,32.4038590331
51,-0.0041288371,32.4073138201
52,-0.0041311833,32.4099851623
53,-0.0041313661,32.4117262211
54,-0.0041333423,32.4104077223
55,-0.0041309116,32.4210738505
57,-0.0041378999,32.4044402403
58,-0.0041394428,32.4366169639
59,-0.0041431133,32.4333979173
60,-0.00414174,32.4412635195
61,-0.0041516627,32.4455120512
62,-0.0041550169,32.4441906909
63,-0.0041507486,32.4421268442
64,-0.0041606114,32.4272054601
65,-0.00416612,32.4254789284
66,-0.0041673677,32.4424557238
67,-0.0041696179,32.4320909381
68,-0.0041704069,32.4420019526
69,-0.004174986,32.4473507427
70,-0.0041768974,32.4430739515
71,-0.0041776787,32.445865688
72,-0.0041753957,32.4645234163
73,-0.0041798113,32.4648197093
74,-0.0041775976,32.4734744881
75,-0.0041834123,32.4756174213
76,-0.0041847267,32.469158877
77,-0.0041821195,32.4719443401
78,-0.0041871941,32.4728475773
