label,0,1,2,3,4,5,6,7,8,9,rank_percentage
Chief Financial Officer,Deputy Chief Supply Chain MainA_PHONENUMBERance Officer,Merchandiser,Project Financial Assistant,Audit Assistant,M&E Specialist of the Fund for Rural Development in Armenia,Office Manager,Receptionist,Translator,Monitoring and Evaluation Officer,Russian Language Editor,0.4078954303483898
Full time Community Connections Intern (paid internship),Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Deputy Chief Accountant,Chemist of Chemical Scientific Research Laboratory,"Leading Specialist, Financial Market Operations Department",Web Designer,Chief Financial Officer,0.7596057555473568
Country Coordinator,Secretary,PHP Web Software Developer,Senior Manager of Support Services,IT Support Specialist,Project Coordinator for Promoting Equal Rights and Equal,Senior Web Developer,Real Estate Asset Management Division Head,Junior Expert at NA Standing Committee on Economic Affairs,Rural Credit Specialist,Finance Associate,0.9518262794497444
BCC Specialist,Deputy Chief Accountant,Non Cash Operations Department Specialist,Educational Information Fair,Medical Representative,Deputy Chief Engineer,Ne2rk Administrator,Customer Care Representative,Billing and Credit Control Consultant,Advanced PHP Senior Developer,Head of Communications Department,0.4435250092236336
Software Developer,Accountant,Senior C++ Engineer,Entertainment & Sport Manager,Research and Development Engineer,State Investments Management Trainer,Senior Auditor,Sales Director,Ne2rk Administrator,Product Manager,Designer,0.13951404627628736
Saleswoman,Local Government Finance Technical Advisor,PHP Web Software Developer,Senior Java Tester,Senior Accountant,"Deputy Chief of State Service of Food Safety, SNCOs and",Non Cash Operations Department Specialist,Economist Tax Analyst,Finance Associate,Financial Director in Charge of Accounting,AutoCAD Designer,0.32799241026722187
Chief Accountant Finance Assistant,Senior Auditor,Senior Java Tester,Native Near Native English Teacher,Corporate Banking Manager,Java Developer,Accountant,Designer,Assistant in Accounting Department,Chief Security Officer,Billing and Credit Control Consultant,0.015442997944447373
Non paid part or full time Programmatic Intern,Research & Development Engineer,Chief Accountant,C C++ Software Engineer,MI and Group Reporting Analyst,System Administrator Leading Specialist,Senior Software Engineer,Country Manager for Armenia,Billing Administrator,Marketing Coordinator,Sales Engineer,0.891688188478364
Assistant to Managing Director,Public Relations Responsible,Executive Director,Operations Specialist,Web Designer,PR Communications Specialist,Local Legal Advisor,Analist,Billing and Credit Control Consultant,Accounting Specialist,Project Manager for Cross border Programs,0.893216676329521
"Program Assistant (INL), FSN 8; FP 6*",Intern for UN Resident Coordinators (UNRC) Unit,Secretary Referent,Purchasing Specialist,Assistant to the Manager,Financial Specialist,National Analytical Chemist (NAC),Manager Assistant,Junior Online Marketing Developer,Local Expert for Drug Information Epidemiology Comp1nt of,Junior Internal Auditor,0.9656880830654088
Short Term Travel Grants (STG) Program,Food Safety Regulatory Reform Consultant,International M1y Transfer Specialist,AutoCAD Designer,Shop Manager,IT Reporting Team Leader,Senior Circuit Design Engineer,Sales Manager Preseller,Billing Platforms Senior Specialist,Internet Assessor,National Programme Co ordinator,0.3808043008485743
Non paid part or full time Administrative Intern,"Post Harvest, Processing and Marketing Specialist",Engineer,Web Application Engineer,Warehouse Shift Supervisor,Retail Coordinator,Senior PHP Developer,General Manager,"Accountant Methodologist, Accounting Department",Web Designer Developer,Finance Officer,0.7816370631950667
Chief of Party (COP),Java programmer,Information Security Division Specialist,iOS Developer,Road Infrastructure and Communication Ne2rk Engineer for MBBG,Psychologist,Director of Finance,Waiter Waitress,C++ Senior Software Developer (Linux),Preseller,Secretary Registry Clerk,0.5485163126548253
"Community Development, Capacity Building and Conflict",Sales Director,QA Intern Contractor,Senior Auditor,Product Manager,Designer,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,0.5158910030042693
General Manager,GUI Developer,Non Cash Operations Department Specialist,Credit and Debt Manager,"Deputy Chief of State Service of Food Safety, SNCOs and",Information Manager,Senior Java Tester,AutoCAD Designer,Java Developer,Customs Clearance Officer,Web Intern Contractor,0.019764929109787593
Ne2rk Administrator,Project Engineer,QA Testing Engineer,Medical Representative,Software Test Engineer,Billing Administrator,Marketing Coordinator,Finance Officer,Team Lead: Workforce and Entrepreneurship Development,Cisco Specialist,Accountant,0.7365203183471248
Utopian World Championship A_PHONENUMBER,Transformational Development Facilitator Stepanavan,Internet Technical Support Consultant,Logistics Manager,Renewable Energy Technical Expert,Sales Manager Preseller,Receptionist Administrative Assistant,Local Expert Journalist for Human Rights Defenders Office,Legislative Fellows Program (LFP),PR Specialist for EIA Watchdog Project,Chief Specialist,0.6320033732145681
Country Economist (NOB),Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,"Leading Specialist, Financial Market Operations Department",Business Advisor Non Farm Rural Enterprises,Designer,Internet Assessor,Art Director Show Manager,0.03183471248616455
Driver Logistics Assistant,Secretary,IS ICT Governance Officer,Client Service Manager,Senior expert,Project Coordinator Assistant,Program Officer,SME Credit Officer in Yerevan,Manual QA Lead,"Senior Software Engineer, Deep Submicron Department",Accountant,0.09603120223475466
Graphic Designer,Accountant,Sales Engineer,Ne2rk Administrator,Senior C++ Engineer,Sales Director,Logistics Manager,BarA_PHONENUMBERder,Cashier,Martuni Branch Manager,Entertainment & Sport Manager,0.7519633162915722
Administrative Assistant,Accountant,Loan Specialist,"Store Director Trainee, Yerevan",Ne2rk Administrator,Business Processes Optimization Expert,Medical Representative,Mobile Ne2rk Operation Unit Head,Junior SCRUM Master,Accounting Assistant,Lawyer,0.6474463711590155
Lawyer,Secretary Registry Clerk,Monitoring Specialist,Web Developer,Senior Manager of Support Services,IT Support Specialist,Accountant,Sales Director,A_PHONENUMBER A_PHONENUMBER Global Undergraduate Exchange Program in Eurasia &,Mid Level Software Developer,Technical Consultant,0.9145100932904654
Marketing Advisor,"Software Engineer, Design to Silicon Division","Assistant of the Finance, Administration and Resettlement Unit",ASP.Net Developer,Executive Director,System Business Analyst,Tourism Manager,Journalist,Sales and Distribution Manager,Technical Support Specialist,Financial Analyst,0.5458282822958942
Chief Supervisor of Programs Department,Senior Java Tester,Accountant,Senior Manager of Support Services,Sales Engineer,Program Accountant,Sales Director,Human Resources Certification Institute (HRCI) Certification,"Leading Specialist, Financial Market Operations Department",Senior Auditor,Test Analyst,0.3796447583408001
