label,0,1,2,3,4,5,6,7,8,9,rank_percentage
Chief Financial Officer,Ne2rk Administrator,Merchandiser,Manager of Digital Board Design and Layout,Human Resources Specialist,Consultant,Investment Officer of the Fund for Rural Development in Armenia,"Media Advocacy Officer, Alternative Resources in Media Project",Head of Large Business Division,Software Developer,Merchandiser,0.18716070205028199
Full time Community Connections Intern (paid internship),Application Manager,Accountant,Promoter,Finance Director,Regulatory Affairs & Medical Manager,Voter Registration Assistant,Software Engineer,Executive Assistant,Customer Relationship Analyst Associate,Chief Accountant,0.5272756021715069
Country Coordinator,Accountant,Ne2rk Administrator,Designer,Lawyer,Credit Officer,Web Developer,Administrative Assistant,Grants Manager,Computer and Information Science (CIS) Program Coordinator,Waiter Waitress,0.6332156221999684
BCC Specialist,Regional Representative,Watchman,Head of Marketing and PR Division,Promoter Salesperson,Manager Assistant,Armenia Country Director,Economist Engineer,Medical Representative,Technical Writer,Credit Specialist in Administration of Underwriting of Consumer,0.16112370210298846
Software Developer,Head of Internal Audit,Lawyer,3D Modeler,Marketing Director,Franchise Manager,Project Website Developer Designer,iOS Software Engineer,"Manager, Tumo Stepanakert",Marketing Analyst,"High School Specialist Engineer of the Subcomp1nt ""Enrichmentof the Upper Secondary Schools""",0.3829652664312444
Saleswoman,Human Resources and Administrative Manager,Quality Control Operator,HR Director,Head of Credit Back Office,Senior System Administrator,ASP.Net C# C++ Software Developer,Translator Interpreter,Director of Computer Services,Web Engineer,Functional QA Team Lead in Goris,0.8010330469614716
Chief Accountant Finance Assistant,Chief Accountant,Project Engineer,Software QA Engineer,Sales Consultant,Project Management Specialist,Medical Representative,iPh1 Application Developer,Delinquent Credits Collection Agent,Java UI Developer,Voter Education Officer,0.10388446740104358
Non paid part or full time Programmatic Intern,Director of Rural Finance Facility (RFF),Agro Loan Officer,Senior Executive Sales and Marketing Manager,Chief Accountant,Community and Business Development Technical Coordinator for,IT Coordinator,System Administrator,Customer Service Department Manager,Web Developer,English Language Specialist,0.9828703947715174
Assistant to Managing Director,Operations Manager,Retail Finance Analyst,Administrative Assistant,Software Developer,Administrator at Reception,Procurement Specialist,RTA Language Assistant,Market Development Specialist,IT Specialist 1C Supporter,Regional Representative,0.8605386602013387
"Program Assistant (INL), FSN 8; FP 6*",Vardenis ADP Administrative Assistant,Quality Control Engineer,Administrative Assistant,Grants Manager,Computer and Information Science (CIS) Program Coordinator,Waiter Waitress,Finance HR Assistant,Ne2rk Administrator Information Technology Specialist,Direct Sales Specialist,QA Manager,0.895377641912191
Short Term Travel Grants (STG) Program,Medical Officer,Scriptwriters,Administrative Assistant,Team Lead Web Application Development and Design,National Finance Officer,"Senior Software Engineer, I",Quality and Training Consultant,Front End Developer,Software Engineer,Senior Loan Officer in Ararat marz,0.45886259421282877
Non paid part or full time Administrative Intern,Database Programmer,Agronomist,Software Engineer,Finance Director,Finance Analyst,Test Theory Specialist of the TASS Test,Head of Internal Audit,Individual Manager,Regulatory Affairs & Medical Manager,Sales Consultant,0.9483476519264218
Chief of Party (COP),Programmer,Exams Assistant,Website Designer,Procurement Manager,Armenia Country Director,Economist Engineer,Medical Representative,Technical Writer,Credit Specialist in Administration of Underwriting of Consumer,Section Manager,0.15769778105729193
"Community Development, Capacity Building and Conflict",iPh1 Application Developer,Fr8 Forwarding Coordinator,Finance Director Chief Accountant,Engineer Sales Manager,Chief of Party,Armenia Country Director,Economist Engineer,Medical Representative,Technical Writer,Credit Specialist in Administration of Underwriting of Consumer,0.059769145627997684
General Manager,Executive Assistant,Customer Relationship Analyst Associate,Administrator of Transfer Systems & Computer Technics Supporter,English Language Courses,Medical Officer,Accountant,Salesperson Consultant,Business Analyst,Public Awareness and Media Consultant,Ground Handling MainA_PHONENUMBERance Manager,0.8104675064565435
Ne2rk Administrator,Billing Administrator,Marketing Coordinator,Advertising Sales Agent,Chief Accountant,Sales Manager,Reporting Diversity Workshop for Journalists,Foreign National Student Intern,Lecturer for International Law,Project Coordinator,Java Senior Developer Architect,0.5200548147367311
Utopian World Championship A_PHONENUMBER,Supplier,Check Administrator,R&D Manager,Persian Armenian Translator Interpreter,Climate Control Equipment Operation Engineer,Banking Methodology Specialist,Web Developer,Senior Mediaplanning Specialist,Marketing and Sales Manager,Warehouse Manager,0.07162810309387024
Country Economist (NOB),Chemist Technologist,Junior Prfessional Associate,Translator Interpreter,Functional QA Team Lead in Goris,Deputy Director,Chief Financial Officer,Receptionist Admin Assistant,Head of Large Enterprises Commercial Lending Division,Translator,Technical Support Engineer,0.23812786591472093
